FRR	FAR	Caracteristicas
0.21397059	0.20187254	ft1(1.25),ft2(1.5),ft3(1.25),ft4(2.0)
0.21397059	0.20325	ft1(1.25),ft2(1.5),ft3(1.25),ft4(2.25)
0.2252451	0.15501961	ft1(1.25),ft2(1.5),ft3(1.5),ft4(1.25)
0.19779412	0.19830392	ft1(1.25),ft2(1.5),ft3(1.5),ft4(1.5)
0.19681373	0.22182843	ft1(1.25),ft2(1.5),ft3(1.5),ft4(1.75)
0.19681373	0.23296079	ft1(1.25),ft2(1.5),ft3(1.5),ft4(2.0)
0.19681373	0.23720098	ft1(1.25),ft2(1.5),ft3(1.5),ft4(2.25)
0.225	0.15506862	ft1(1.25),ft2(1.5),ft3(1.75),ft4(1.25)
0.19730392	0.19845098	ft1(1.25),ft2(1.5),ft3(1.75),ft4(1.5)
0.19632353	0.22257844	ft1(1.25),ft2(1.5),ft3(1.75),ft4(1.75)
0.19632353	0.23513235	ft1(1.25),ft2(1.5),ft3(1.75),ft4(2.0)
0.19632353	0.24036765	ft1(1.25),ft2(1.5),ft3(1.75),ft4(2.25)
0.225	0.15506862	ft1(1.25),ft2(1.5),ft3(2.0),ft4(1.25)
0.19730392	0.19845098	ft1(1.25),ft2(1.5),ft3(2.0),ft4(1.5)
0.19632353	0.22258334	ft1(1.25),ft2(1.5),ft3(2.0),ft4(1.75)
0.19632353	0.23514706	ft1(1.25),ft2(1.5),ft3(2.0),ft4(2.0)
0.19632353	0.24041176	ft1(1.25),ft2(1.5),ft3(2.0),ft4(2.25)
0.225	0.15506862	ft1(1.25),ft2(1.5),ft3(2.25),ft4(1.25)
0.19730392	0.19845098	ft1(1.25),ft2(1.5),ft3(2.25),ft4(1.5)
0.19632353	0.22258334	ft1(1.25),ft2(1.5),ft3(2.25),ft4(1.75)
0.19632353	0.23514706	ft1(1.25),ft2(1.5),ft3(2.25),ft4(2.0)
0.19632353	0.24041176	ft1(1.25),ft2(1.5),ft3(2.25),ft4(2.25)
0.23039216	0.15285294	ft1(1.25),ft2(1.75),ft3(1.25),ft4(1.25)
0.21372549	0.18627942	ft1(1.25),ft2(1.75),ft3(1.25),ft4(1.5)
0.21372549	0.1992402	ft1(1.25),ft2(1.75),ft3(1.25),ft4(1.75)
0.21372549	0.2037402	ft1(1.25),ft2(1.75),ft3(1.25),ft4(2.0)
0.21372549	0.20523039	ft1(1.25),ft2(1.75),ft3(1.25),ft4(2.25)
0.225	0.15532354	ft1(1.25),ft2(1.75),ft3(1.5),ft4(1.25)
0.19754902	0.19953431	ft1(1.25),ft2(1.75),ft3(1.5),ft4(1.5)
0.19656862	0.22455883	ft1(1.25),ft2(1.75),ft3(1.5),ft4(1.75)
0.19656862	0.23701961	ft1(1.25),ft2(1.75),ft3(1.5),ft4(2.0)
0.19656862	0.24189216	ft1(1.25),ft2(1.75),ft3(1.5),ft4(2.25)
0.2247549	0.15537255	ft1(1.25),ft2(1.75),ft3(1.75),ft4(1.25)
0.19705883	0.19968137	ft1(1.25),ft2(1.75),ft3(1.75),ft4(1.5)
0.19607843	0.22535785	ft1(1.25),ft2(1.75),ft3(1.75),ft4(1.75)
0.19607843	0.24021079	ft1(1.25),ft2(1.75),ft3(1.75),ft4(2.0)
0.19583334	0.24862255	ft1(1.25),ft2(1.75),ft3(1.75),ft4(2.25)
0.2247549	0.15537255	ft1(1.25),ft2(1.75),ft3(2.0),ft4(1.25)
0.19705883	0.19968137	ft1(1.25),ft2(1.75),ft3(2.0),ft4(1.5)
0.19607843	0.22536275	ft1(1.25),ft2(1.75),ft3(2.0),ft4(1.75)
0.19607843	0.2402255	ft1(1.25),ft2(1.75),ft3(2.0),ft4(2.0)
0.19583334	0.24880883	ft1(1.25),ft2(1.75),ft3(2.0),ft4(2.25)
0.2247549	0.15537255	ft1(1.25),ft2(1.75),ft3(2.25),ft4(1.25)
0.19705883	0.19968137	ft1(1.25),ft2(1.75),ft3(2.25),ft4(1.5)
0.19607843	0.22536275	ft1(1.25),ft2(1.75),ft3(2.25),ft4(1.75)
0.19607843	0.2402255	ft1(1.25),ft2(1.75),ft3(2.25),ft4(2.0)
0.19583334	0.24880883	ft1(1.25),ft2(1.75),ft3(2.25),ft4(2.25)
0.23039216	0.15285294	ft1(1.25),ft2(2.0),ft3(1.25),ft4(1.25)
0.21372549	0.18629412	ft1(1.25),ft2(2.0),ft3(1.25),ft4(1.5)
0.21372549	0.19927941	ft1(1.25),ft2(2.0),ft3(1.25),ft4(1.75)
0.21372549	0.20380393	ft1(1.25),ft2(2.0),ft3(1.25),ft4(2.0)
0.21372549	0.20530882	ft1(1.25),ft2(2.0),ft3(1.25),ft4(2.25)
0.225	0.15532354	ft1(1.25),ft2(2.0),ft3(1.5),ft4(1.25)
0.19754902	0.19955392	ft1(1.25),ft2(2.0),ft3(1.5),ft4(1.5)
0.19656862	0.22460294	ft1(1.25),ft2(2.0),ft3(1.5),ft4(1.75)
0.19656862	0.23714216	ft1(1.25),ft2(2.0),ft3(1.5),ft4(2.0)
0.19656862	0.24207354	ft1(1.25),ft2(2.0),ft3(1.5),ft4(2.25)
0.2247549	0.15537255	ft1(1.25),ft2(2.0),ft3(1.75),ft4(1.25)
0.19705883	0.19970098	ft1(1.25),ft2(2.0),ft3(1.75),ft4(1.5)
0.19607843	0.22540197	ft1(1.25),ft2(2.0),ft3(1.75),ft4(1.75)
0.19607843	0.24034314	ft1(1.25),ft2(2.0),ft3(1.75),ft4(2.0)
0.19583334	0.24889216	ft1(1.25),ft2(2.0),ft3(1.75),ft4(2.25)
0.2247549	0.15537255	ft1(1.25),ft2(2.0),ft3(2.0),ft4(1.25)
0.19705883	0.19970098	ft1(1.25),ft2(2.0),ft3(2.0),ft4(1.5)
0.19607843	0.22540686	ft1(1.25),ft2(2.0),ft3(2.0),ft4(1.75)
0.19607843	0.24035785	ft1(1.25),ft2(2.0),ft3(2.0),ft4(2.0)
0.19583334	0.24907844	ft1(1.25),ft2(2.0),ft3(2.0),ft4(2.25)
0.2247549	0.15537255	ft1(1.25),ft2(2.0),ft3(2.25),ft4(1.25)
0.19705883	0.19970098	ft1(1.25),ft2(2.0),ft3(2.25),ft4(1.5)
0.19607843	0.22540686	ft1(1.25),ft2(2.0),ft3(2.25),ft4(1.75)
0.19607843	0.24035785	ft1(1.25),ft2(2.0),ft3(2.25),ft4(2.0)
0.19583334	0.24907844	ft1(1.25),ft2(2.0),ft3(2.25),ft4(2.25)
0.23039216	0.15285294	ft1(1.25),ft2(2.25),ft3(1.25),ft4(1.25)
0.21372549	0.18629412	ft1(1.25),ft2(2.25),ft3(1.25),ft4(1.5)
0.21372549	0.19927941	ft1(1.25),ft2(2.25),ft3(1.25),ft4(1.75)
0.21372549	0.20380393	ft1(1.25),ft2(2.25),ft3(1.25),ft4(2.0)
0.21372549	0.20531373	ft1(1.25),ft2(2.25),ft3(1.25),ft4(2.25)
0.225	0.15532354	ft1(1.25),ft2(2.25),ft3(1.5),ft4(1.25)
0.19754902	0.19955392	ft1(1.25),ft2(2.25),ft3(1.5),ft4(1.5)
0.19656862	0.22460294	ft1(1.25),ft2(2.25),ft3(1.5),ft4(1.75)
0.19656862	0.23715197	ft1(1.25),ft2(2.25),ft3(1.5),ft4(2.0)
0.19656862	0.24208823	ft1(1.25),ft2(2.25),ft3(1.5),ft4(2.25)
0.2247549	0.15537255	ft1(1.25),ft2(2.25),ft3(1.75),ft4(1.25)
0.19705883	0.19970098	ft1(1.25),ft2(2.25),ft3(1.75),ft4(1.5)
0.19607843	0.22540197	ft1(1.25),ft2(2.25),ft3(1.75),ft4(1.75)
0.19607843	0.24035294	ft1(1.25),ft2(2.25),ft3(1.75),ft4(2.0)
0.19583334	0.24891667	ft1(1.25),ft2(2.25),ft3(1.75),ft4(2.25)
0.2247549	0.15537255	ft1(1.25),ft2(2.25),ft3(2.0),ft4(1.25)
0.19705883	0.19970098	ft1(1.25),ft2(2.25),ft3(2.0),ft4(1.5)
0.19607843	0.22540686	ft1(1.25),ft2(2.25),ft3(2.0),ft4(1.75)
0.19607843	0.24036765	ft1(1.25),ft2(2.25),ft3(2.0),ft4(2.0)
0.19583334	0.24910294	ft1(1.25),ft2(2.25),ft3(2.0),ft4(2.25)
0.2247549	0.15537255	ft1(1.25),ft2(2.25),ft3(2.25),ft4(1.25)
0.19705883	0.19970098	ft1(1.25),ft2(2.25),ft3(2.25),ft4(1.5)
0.19607843	0.22540686	ft1(1.25),ft2(2.25),ft3(2.25),ft4(1.75)
0.19607843	0.24036765	ft1(1.25),ft2(2.25),ft3(2.25),ft4(2.0)
0.19583334	0.24910294	ft1(1.25),ft2(2.25),ft3(2.25),ft4(2.25)
0.22818628	0.16568138	ft1(1.5),ft2(1.25),ft3(1.25),ft4(1.25)
0.21740197	0.19212255	ft1(1.5),ft2(1.25),ft3(1.25),ft4(1.5)
0.21740197	0.20208333	ft1(1.5),ft2(1.25),ft3(1.25),ft4(1.75)
0.21740197	0.20579901	ft1(1.5),ft2(1.25),ft3(1.25),ft4(2.0)
0.21740197	0.20705391	ft1(1.5),ft2(1.25),ft3(1.25),ft4(2.25)
0.21764706	0.17320588	ft1(1.5),ft2(1.25),ft3(1.5),ft4(1.25)
0.2002451	0.20646569	ft1(1.5),ft2(1.25),ft3(1.5),ft4(1.5)
0.2002451	0.21899019	ft1(1.5),ft2(1.25),ft3(1.5),ft4(1.75)
0.2002451	0.22394118	ft1(1.5),ft2(1.25),ft3(1.5),ft4(2.0)
0.2002451	0.2257647	ft1(1.5),ft2(1.25),ft3(1.5),ft4(2.25)
0.21740197	0.17352451	ft1(1.5),ft2(1.25),ft3(1.75),ft4(1.25)
0.1992647	0.20727451	ft1(1.5),ft2(1.25),ft3(1.75),ft4(1.5)
0.19901961	0.2200049	ft1(1.5),ft2(1.25),ft3(1.75),ft4(1.75)
0.19901961	0.22504412	ft1(1.5),ft2(1.25),ft3(1.75),ft4(2.0)
0.19901961	0.22692157	ft1(1.5),ft2(1.25),ft3(1.75),ft4(2.25)
0.21740197	0.17352451	ft1(1.5),ft2(1.25),ft3(2.0),ft4(1.25)
0.1992647	0.20730883	ft1(1.5),ft2(1.25),ft3(2.0),ft4(1.5)
0.19901961	0.22005883	ft1(1.5),ft2(1.25),ft3(2.0),ft4(1.75)
0.19901961	0.22510785	ft1(1.5),ft2(1.25),ft3(2.0),ft4(2.0)
0.19901961	0.22698529	ft1(1.5),ft2(1.25),ft3(2.0),ft4(2.25)
0.21740197	0.17352451	ft1(1.5),ft2(1.25),ft3(2.25),ft4(1.25)
0.1992647	0.20730883	ft1(1.5),ft2(1.25),ft3(2.25),ft4(1.5)
0.19901961	0.22005883	ft1(1.5),ft2(1.25),ft3(2.25),ft4(1.75)
0.19901961	0.22510785	ft1(1.5),ft2(1.25),ft3(2.25),ft4(2.0)
