FRR	FAR	Caracteristicas
0.2529412	0.06718627	dt(1.25),ft1(1.75),ft2(1.75),ft4(1.75)
0.2517157	0.06854902	dt(1.25),ft1(1.75),ft2(1.75),ft4(2.0)
0.2517157	0.068553925	dt(1.25),ft1(1.75),ft2(1.75),ft4(2.25)
0.3262255	0.043892156	dt(1.25),ft1(1.75),ft2(2.0),ft4(1.25)
0.27279413	0.05937745	dt(1.25),ft1(1.75),ft2(2.0),ft4(1.5)
0.2512255	0.06788235	dt(1.25),ft1(1.75),ft2(2.0),ft4(1.75)
0.24803922	0.07041667	dt(1.25),ft1(1.75),ft2(2.0),ft4(2.0)
0.24803922	0.07068137	dt(1.25),ft1(1.75),ft2(2.0),ft4(2.25)
0.3262255	0.043892156	dt(1.25),ft1(1.75),ft2(2.25),ft4(1.25)
0.27279413	0.05937745	dt(1.25),ft1(1.75),ft2(2.25),ft4(1.5)
0.2509804	0.06789706	dt(1.25),ft1(1.75),ft2(2.25),ft4(1.75)
0.24779412	0.07046078	dt(1.25),ft1(1.75),ft2(2.25),ft4(2.0)
0.24779412	0.070745096	dt(1.25),ft1(1.75),ft2(2.25),ft4(2.25)
0.3392157	0.038745098	dt(1.25),ft1(2.0),ft2(1.25),ft4(1.25)
0.32769608	0.04140196	dt(1.25),ft1(2.0),ft2(1.25),ft4(1.5)
0.32769608	0.041455884	dt(1.25),ft1(2.0),ft2(1.25),ft4(1.75)
0.32769608	0.041455884	dt(1.25),ft1(2.0),ft2(1.25),ft4(2.0)
0.32769608	0.041455884	dt(1.25),ft1(2.0),ft2(1.25),ft4(2.25)
0.3262255	0.043848038	dt(1.25),ft1(2.0),ft2(1.5),ft4(1.25)
0.27965686	0.056279413	dt(1.25),ft1(2.0),ft2(1.5),ft4(1.5)
0.275	0.058303922	dt(1.25),ft1(2.0),ft2(1.5),ft4(1.75)
0.275	0.058338236	dt(1.25),ft1(2.0),ft2(1.5),ft4(2.0)
0.275	0.058338236	dt(1.25),ft1(2.0),ft2(1.5),ft4(2.25)
0.3259804	0.044078432	dt(1.25),ft1(2.0),ft2(1.75),ft4(1.25)
